model,threshold,round_type,round_index,codec_mode,cuda_layers,cpu_fallback_layers,full_residual_bytes,compact_intermediate_d2h_bytes,compact_vs_full_residual_pct,final_payload_bytes,compact_intermediate_d2h_mb,full_residual_d2h_avoided_mb,cpu_payload_assembly_ms,cpu_reconstruct_input_ms,cpu_encoder_ms,cuda_kernel_ms,cuda_state_commit_ms,model_total_ms,cpu_baseline_model_total_ms,speedup_vs_cpu_wrapper,speedup_vs_v0_raw,compression_ratio,ratio_delta,codec_failure_reason,state_committed,accepted_compact,classification
resnet50,262144,round0,0,raw_v0,28,238,87556096,87556096,100.000000,87556096,83.500000,0.000000,0.000000,0.000000,0.000000,0.000000,8.689217,247.335773,739.415669,2.989522,1.000000,1.048720,-0.726834,,1,0,stop_ratio_failed
resnet50,262144,hot,1,raw_v0,28,238,87556096,87556096,100.000000,89098021,83.500000,0.000000,0.000000,0.000000,0.000000,33.093568,2.406760,404.657844,1025.324513,2.533806,1.000000,1.030925,-0.725565,,1,0,stop_ratio_failed
resnet50,262144,hot,2,raw_v0,28,238,87556096,87556096,100.000000,89098189,83.500000,0.000000,0.000000,0.000000,0.000000,33.027072,1.966133,384.710602,1043.846554,2.713329,1.000000,1.030912,-0.726089,,1,0,stop_ratio_failed
resnet50,262144,round0,0,cpu_codec_full_residual_probe,28,238,87556096,87556096,100.000000,81035088,83.500000,0.000000,2531.096003,0.000000,2531.096003,0.000000,9.123948,2793.941775,739.415669,0.264650,0.088526,1.130725,-0.705473,,1,0,diagnostic_only
resnet50,262144,hot,1,cpu_codec_full_residual_probe,28,238,87556096,87556096,100.000000,82166743,83.500000,0.000000,2472.276303,0.000000,2472.276303,33.008609,4.220354,2882.023862,1025.324513,0.355765,0.140408,1.115453,-0.703064,,1,0,diagnostic_only
resnet50,262144,hot,2,cpu_codec_full_residual_probe,28,238,87556096,87556096,100.000000,82182721,83.500000,0.000000,2507.665914,0.000000,2507.665914,33.012608,4.417972,2939.277076,1043.846554,0.355137,0.130886,1.115229,-0.703686,,1,0,diagnostic_only
resnet50,262144,round0,0,hybrid_compact_v1a,28,238,87556096,21889024,25.000000,26870818,20.875000,62.625000,5481.397337,33.085553,5448.311784,0.000000,6.073063,5655.891589,739.415669,0.130734,0.043731,3.226013,-0.159701,,1,1,stop_ratio_failed
resnet50,262144,hot,1,hybrid_compact_v1a,28,238,87556096,21889024,25.000000,27796963,20.875000,62.625000,5060.689927,30.144618,5030.545309,32.971680,4.103739,5348.576661,1025.324513,0.191700,0.075657,3.125886,-0.167882,,1,1,stop_ratio_failed
resnet50,262144,hot,2,hybrid_compact_v1a,28,238,87556096,21889024,25.000000,27749743,20.875000,62.625000,4996.180212,32.901968,4963.278244,32.982880,3.504602,5297.438126,1043.846554,0.197047,0.072622,3.130679,-0.168186,,1,1,stop_ratio_failed
resnet50,524288,round0,0,raw_v0,17,249,76021760,76021760,100.000000,76021760,72.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.426329,306.780075,739.415669,2.410247,1.000000,1.158509,-0.698236,,1,0,stop_ratio_failed
resnet50,524288,hot,1,raw_v0,17,249,76021760,76021760,100.000000,77202918,72.500000,0.000000,0.000000,0.000000,0.000000,24.968032,1.256773,464.073224,1025.324513,2.209402,1.000000,1.140848,-0.696304,,1,0,stop_ratio_failed
resnet50,524288,hot,2,raw_v0,17,249,76021760,76021760,100.000000,77203086,72.500000,0.000000,0.000000,0.000000,0.000000,24.982400,1.254498,449.849630,1043.846554,2.320434,1.000000,1.140942,-0.696855,,1,0,stop_ratio_failed
resnet50,524288,round0,0,cpu_codec_full_residual_probe,17,249,76021760,76021760,100.000000,70360489,72.500000,0.000000,2136.618360,0.000000,2136.618360,0.000000,5.405672,2446.438339,739.415669,0.302242,0.125399,1.245111,-0.675679,,1,0,diagnostic_only
resnet50,524288,hot,1,cpu_codec_full_residual_probe,17,249,76021760,76021760,100.000000,71237981,72.500000,0.000000,2154.170625,0.000000,2154.170625,25.032768,2.804803,2620.181777,1025.324513,0.391318,0.177115,1.229584,-0.672682,,1,0,diagnostic_only
resnet50,524288,hot,2,cpu_codec_full_residual_probe,17,249,76021760,76021760,100.000000,71249023,72.500000,0.000000,2127.328156,0.000000,2127.328156,25.048192,2.702287,2584.936771,1043.846554,0.403819,0.174027,1.229518,-0.673320,,1,0,diagnostic_only
resnet50,524288,round0,0,hybrid_compact_v1a,17,249,76021760,19005440,25.000000,23224867,18.125000,54.375000,4816.156676,47.984717,4768.171959,0.000000,4.466286,5062.441138,739.415669,0.146059,0.060599,3.297377,-0.141113,,1,1,stop_ratio_failed
resnet50,524288,hot,1,hybrid_compact_v1a,17,249,76021760,19005440,25.000000,23983023,18.125000,54.375000,4447.123124,30.505967,4416.617157,25.036640,2.328693,4844.718600,1025.324513,0.211638,0.095790,3.203608,-0.147192,,1,1,stop_ratio_failed
resnet50,524288,hot,2,hybrid_compact_v1a,17,249,76021760,19005440,25.000000,23964388,18.125000,54.375000,4399.228871,34.048539,4365.180332,25.041888,2.469005,4785.937984,1043.846554,0.218107,0.093994,3.206396,-0.148068,,1,1,stop_ratio_failed
resnet50,1048576,round0,0,raw_v0,9,257,57671680,57671680,100.000000,57671680,55.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.734909,417.186246,739.415669,1.772387,1.000000,1.390908,-0.637702,,1,0,stop_ratio_failed
resnet50,1048576,hot,1,raw_v0,9,257,57671680,57671680,100.000000,58677749,55.000000,0.000000,0.000000,0.000000,0.000000,21.357440,0.665569,584.105943,1025.324513,1.755374,1.000000,1.367708,-0.635913,,1,0,stop_ratio_failed
resnet50,1048576,hot,2,raw_v0,9,257,57671680,57671680,100.000000,58677752,55.000000,0.000000,0.000000,0.000000,0.000000,21.361632,0.675559,566.931579,1043.846554,1.841221,1.000000,1.368036,-0.636516,,1,0,stop_ratio_failed
resnet50,1048576,round0,0,cpu_codec_full_residual_probe,9,257,57671680,57671680,100.000000,53377330,55.000000,0.000000,1534.995902,0.000000,1534.995902,0.000000,3.186347,1918.736450,739.415669,0.385366,0.217428,1.484972,-0.613201,,1,0,diagnostic_only
resnet50,1048576,hot,1,cpu_codec_full_residual_probe,9,257,57671680,57671680,100.000000,54115198,55.000000,0.000000,1652.940786,0.000000,1652.940786,21.407712,1.577943,2222.629697,1025.324513,0.461311,0.262799,1.464634,-0.610111,,1,0,diagnostic_only
resnet50,1048576,hot,2,cpu_codec_full_residual_probe,9,257,57671680,57671680,100.000000,54125487,55.000000,0.000000,1624.865400,0.000000,1624.865400,21.396448,1.561077,2178.441846,1043.846554,0.479171,0.260246,1.464776,-0.610813,,1,0,diagnostic_only
resnet50,1048576,round0,0,hybrid_compact_v1a,9,257,57671680,14417920,25.000000,17510095,13.750000,41.250000,3602.919786,23.342766,3579.577020,0.000000,2.632160,4019.155398,739.415669,0.183973,0.103799,3.412457,-0.111137,,1,1,stop_ratio_failed
resnet50,1048576,hot,1,hybrid_compact_v1a,9,257,57671680,14417920,25.000000,18160271,13.750000,41.250000,3336.928360,22.129702,3314.798658,21.397536,1.445401,3847.823857,1025.324513,0.266469,0.151802,3.317132,-0.116972,,1,1,stop_ratio_failed
resnet50,1048576,hot,2,hybrid_compact_v1a,9,257,57671680,14417920,25.000000,18187914,13.750000,41.250000,3319.614521,22.523678,3297.090843,21.401600,1.528248,3809.649506,1043.846554,0.274001,0.148815,3.315836,-0.118990,,1,1,stop_ratio_failed
